proposed,label,,,,
http://example.org/onto#NVIDIA_Isaac_Sim,NVIDIA Isaac Sim,,,25,37.87878788
http://example.org/onto#PX4_Autopilot,PX4 Autopilot,,,10,15.15151515
http://example.org/onto#Pegasus_Simulator,Pegasus Simulator,,,30,45.45454545
http://example.org/onto#grape_transport_scenarios,grape transport scenarios,,,,
http://example.org/onto#varied_terrain,varied terrain,,,,
http://example.org/onto#dynamically_positioned_workers,dynamically positioned workers,,,,
http://example.org/onto#environmental_changes,environmental changes,,,,
http://example.org/onto#multi_drone_coordination,multi-drone coordination,,,,
http://example.org/onto#AI4Work_tools,AI4Work tools,,,,
http://example.org/onto#adaptive_behaviour,adaptive behaviour,,,,
http://example.org/onto#real_time_task_reassignment,real-time task reassignment,,,,
http://example.org/onto#human_aware_interaction_strategies,human-aware interaction strategies,,,,
http://example.org/onto#simulated_worker_agents,simulated worker agents,,,,
http://example.org/onto#fatigue,fatigue,,,,
http://example.org/onto#performance_variation,performance variation,,,,
http://example.org/onto#slope,slope,,,,
http://example.org/onto#heat,heat,,,,
http://example.org/onto#task_repetition,task repetition,,,,
http://example.org/onto#movement_speed,movement speed,,,,
http://example.org/onto#task_completion_rates,task completion rates,,,,
http://example.org/onto#responsiveness_within_the_simulated_environment,responsiveness within the simulated environment,,,,
http://example.org/onto#task_efficiency,task efficiency,,,,
http://example.org/onto#workload_balancing,workload balancing,,,,
http://example.org/onto#safety_aware_planning,safety-aware planning,,,,
http://example.org/onto#Long_Term_Adaptation_module,Long-Term Adaptation module,,,,
http://example.org/onto#physiological_modelling_of_workers,physiological modelling of workers,,,,
http://example.org/onto#Physiological_Monitoring_Data,Physiological Monitoring Data,,,,
http://example.org/onto#Spatial_Information,Spatial Information,,,,
http://example.org/onto#Worker_Aware_Task_Planning,Worker-Aware Task Planning,,,,
http://example.org/onto#Steep_slope_vineyard_environment,Steep-slope vineyard environment,,,,
http://example.org/onto#AI_system,AI system,,,,
http://example.org/onto#Wearable_IoT_sensors,Wearable IoT sensors,,,,
http://example.org/onto#Heart_rate,Heart rate,,,,
http://example.org/onto#ECG_signals,ECG signals,,,,
http://example.org/onto#Body_temperature,Body temperature,,,,
http://example.org/onto#GPS_coordinates,GPS coordinates,,,,
http://example.org/onto#Accelerometer_and_gyroscope,Accelerometer and gyroscope,,,,
http://example.org/onto#Worker_s_physiological_state,Worker's physiological state,,,,
http://example.org/onto#Worker_s_movement_profile,Worker's movement profile,,,,
http://example.org/onto#GPS_data,GPS data,,,,
http://example.org/onto#Geofencing,Geofencing,,,,
http://example.org/onto#Dynamic_task_coordination,Dynamic task coordination,,,,
http://example.org/onto#UAV_mission_planner,UAV mission planner,,,,
http://example.org/onto#Quinta_do_Crasto,Quinta do Crasto,,,,
http://example.org/onto#UAV_stability,UAV stability,,,,
http://example.org/onto#sensor_accuracy,sensor accuracy,,,,
http://example.org/onto#data_quality,data quality,,,,
http://example.org/onto#flight_paths,flight paths,,,,
http://example.org/onto#collisions,collisions,,,,
http://example.org/onto#sensor_stability,sensor stability,,,,
http://example.org/onto#grape_variety_identification,grape variety identification,,,,
http://example.org/onto#disease_detection,disease detection,,,,
http://example.org/onto#wind,wind,,,,
http://example.org/onto#fog,fog,,,,
http://example.org/onto#temperature_shifts,temperature shifts,,,,
http://example.org/onto#microclimatic_variations,microclimatic variations,,,,
http://example.org/onto#airflow_disruption,airflow disruption,,,,
http://example.org/onto#orthomosaic_generation,orthomosaic generation,,,,
http://example.org/onto#NDVI_mapping,NDVI mapping,,,,
http://example.org/onto#Pegasus_simulator,Pegasus simulator,,,,
http://example.org/onto#NVIDIA_Isaac_Sim,NVIDIA Isaac Sim,,,,
http://example.org/onto#UAV_load_behavior,UAV load behavior,,,,
http://example.org/onto#approach_and_landing_paths,approach and landing paths,,,,
http://example.org/onto#human_agents,human agents,,,,
http://example.org/onto#altitude_modulation_across_terraces,altitude modulation across terraces,,,,
